"Date","Room","Prov","Pot","W_treatment","Code","Height","D1","D2","D","Stemmass","Rootmass","Leafmass","Leafarea"
2016-01-08,2,"B",17,"d","B-17",13,0.96,1.01,0.985,0.0141817045067324,0.110002741238466,0.145845729886773,37.7403204272264
2016-01-08,2,"B",18,"d","B-18",13.4,0.78,0.85,0.815,0.00838080889715802,0.0785679124784083,0.117883366343312,29.6140848802151
2016-01-08,2,"B",19,"d","B-19",13.2,0.98,0.97,0.975,0.0139211332302532,0.10796652514295,0.146194430528734,37.6074485074295
2016-01-08,2,"B",20,"d","B-20",13.1,0.88,0.91,0.895,0.0108094193438627,0.0928151068596267,0.12994484685621,33.2061249043421
2016-01-08,2,"B",21,"d","B-21",13.7,0.87,0.84,0.855,0.00978026373974907,0.0854436467753846,0.128227705422907,32.1500080552212
2016-01-08,2,"B",22,"d","B-22",10.5,0.63,0.62,0.625,0.0032656285809566,0.0496081581813164,0.0654031353961462,17.258810922604
2016-01-08,2,"B",23,"d","B-23",11.4,0.85,0.86,0.855,0.00857161244055479,0.0860881722868387,0.106388272004239,28.273305493012
2016-01-08,2,"B",24,"d","B-24",14.4,0.88,0.98,0.93,0.0129259933929377,0.0989518300559499,0.150290110923349,37.4225895172628
2016-01-08,2,"B",25,"d","B-25",10.8,1,1.08,1.04,0.0145264882621127,0.122027901393394,0.129549874616616,35.7560607844432
2016-01-08,2,"B",26,"d","B-26",14.5,0.8,0.88,0.84,0.00967869293399055,0.0826166269908278,0.132781254219104,32.6374180340866
2016-01-08,2,"B",27,"d","B-27",14.5,0.9,0.87,0.885,0.01125496794601,0.090610623559926,0.14199833145575,35.0960188868149
2016-01-08,2,"B",28,"d","B-28",11.7,0.77,0.79,0.78,0.0066970026277434,0.0730997591718321,0.097068607819197,25.3380778665099
2016-01-08,2,"B",29,"d","B-29",10.5,0.92,0.88,0.9,0.0093720474004109,0.0945865976661338,0.104533829153863,28.6687065019006
2016-01-08,2,"B",30,"d","B-30",14.5,0.79,0.83,0.81,0.00871267118140099,0.0774665315323881,0.126714095386407,31.0266222991919
2016-01-18,2,"B",16,"d","B-16",13.7,0.92,0.98,0.95,0.0132631758327826,0.102958754179763,0.146834191339013,37.2274238588087
2016-01-18,2,"B",17,"d","B-17",16,1.39,1.4,1.395,0.0450228279706376,0.201932576769294,0.281757376925564,70.8266616265897
2016-01-18,2,"B",18,"d","B-18",16,1.1,1.16,1.13,0.0244846787420433,0.139082789461424,0.214886612254537,52.8274589142405
2016-01-18,2,"B",19,"d","B-19",16.2,1.19,1.2,1.195,0.0290398219149443,0.153476286445688,0.233844563548522,57.6017964742399
2016-01-18,2,"B",20,"d","B-20",14.6,0.84,0.84,0.84,0.00972655623123791,0.0825934120004371,0.133711636391585,32.7946276817133
2016-01-18,2,"B",21,"d","B-21",16,0.92,0.97,0.945,0.0146015019573778,0.101356396139626,0.170747268052806,41.1904811979473
2016-01-18,2,"B",22,"d","B-22",12.3,0.9,0.95,0.925,0.0113647348357135,0.0986460074285211,0.127165947414255,33.2669032649842
2016-01-18,2,"B",23,"d","B-23",14.1,1.1,1.2,1.15,0.023524412241469,0.14421267928068,0.193300072794839,49.554028735503
2016-01-18,2,"B",24,"d","B-24",15.7,1.17,1.2,1.185,0.0277121132311106,0.151404536821595,0.22407914598602,55.697722577421
2016-01-18,2,"B",25,"d","B-25",13.2,1.29,1.3,1.295,0.0316276280525429,0.17842220375855,0.21059740993058,55.8245474126343
2016-01-18,2,"B",26,"d","B-26",16.7,1.19,1.17,1.18,0.028615950049673,0.14989677785272,0.237292592226012,57.8137554261172
2016-01-18,2,"B",27,"d","B-27",16.2,1.17,1.16,1.165,0.0269816606345026,0.146723179196764,0.226322120725521,55.5992093451854
